"","extractors_first_name","extractors_last_name","preprint_id","preprint_doi","preprint_title","submitting_author","submitting_author_country","submitting_author_first_publication_year","type_of_preprint","taxa_being_studied","data_link_preprint","code_link_preprint","number_of_citations_preprint","pci_recommendation_preprint","publication_doi","publication_journal","publication_date","publication_title_changed","number_of_citations_article","data_link_article","code_link_article","publisher_doi","preprint_published_date","current_version","total_authors","time_between_preprint_and_pub_days","postprint","plants","algi","fungi","microorganisms","invertebrates","vertebrates","data_link_preprint_cleaned","code_link_preprint_cleaned","data_link_article_cleaned","code_link_article_cleaned"
"1","rafaela","almeida",5568,"https://doi.org/10.32942/x23w3n","landscape changes in the “valli da pesca” of the venice lagoon and possible effects on the ecosystem services supply","alice stocco","italy",2022,"research article","landscape-level indicators","none","none",0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,0,0,"no","no","not applicable","not applicable"
"2","rafaela","almeida",5555,"https://doi.org/10.32942/x2qk5w","too simple, too complex, or just right? advantages, challenges and resolutions for indicators of genetic diversity","sean hoban","south africa",2012,"reviews and meta-analyses","conceptual about biodiversity",NA,NA,1,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,0,0,"not applicable","not applicable","not applicable","not applicable"
"3","rafaela","almeida",5577,"https://doi.org/10.32942/x2vc86","designing a collective prototype of future (sub)tropical science","gracielle higino","canada",2021,"opinion","conceptual",NA,NA,1,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,0,0,"not applicable","not applicable","not applicable","not applicable"
"4","rafaela","almeida",5586,"https://doi.org/10.32942/x2kw30","seascape genomics: assisting marine biodiversity management by combining genetic knowledge with environmental and ecological information","filip a.m. volckaert","belgium",NA,"opinion","invertebrates, vertebrates",NA,NA,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,1,1,"not applicable","not applicable","not applicable","not applicable"
"5","rafaela","almeida",5595,"https://doi.org/10.32942/x26k6m","adaptive parsimony as an evolutionary solution to the equilibrium selection problem","jean-baptiste andré","france",2001,"reviews and meta-analyses","conceptual",NA,NA,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,0,0,"not applicable","not applicable","not applicable","not applicable"
"6","rafaela","almeida",5593,"https://doi.org/10.32942/x2bc8j","camtrap dp: an open standard for the fair exchange and archiving of camera trap data","peter desmet","belgium",NA,"methods papers","conceptual","https://github.com/tdwg/camtrap-dp","https://github.com/tdwg/camtrap-dp",2,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,0,0,"yes","yes","not applicable","not applicable"
"7","rafaela","almeida",5599,"https://doi.org/10.32942/x22w2z","shall we all adopt, with no worries, the ‘within a configuration’ approach in geometric morphometrics? a comment on claims that the effect of the superimposition and sliding on shape data is “not an obstacle to analyses of integration and modularity”","andrea cardini","italy",2000,"comment","conceptual",NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,0,0,"not applicable","not applicable","not applicable","not applicable"
"8","rafaela","almeida",5603,"https://doi.org/10.32942/x2z31q","a call to expand global change research in lter coastal wetlands","alex c moore","canada",2015,"reviews and meta-analyses","consumer species","none","none",0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,0,0,"no","no","not applicable","not applicable"
"9","rafaela","almeida",5609,"https://doi.org/10.32942/x2g300","unleashing the potential of artificial reefs design:  a purpose-driven evaluation of structural complexity","elisabeth riera","france",NA,"research article","artificial reefs","https://github.com/eli-riera/artificialreef_complexity","https://github.com/eli-riera/artificialreef_complexity",0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,0,0,"yes","yes","not applicable","not applicable"
"10","rafaela","almeida",5620,"https://doi.org/10.32942/x2pk6z","lipid metabolism in parasitoids and their parasitized hosts","mathilde scheifler","belgium",2019,"book chapter","invertebrates",NA,NA,0,"no",NA,"book chapter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,1,1,"not applicable","not applicable","not applicable","not applicable"
"11","rafaela","almeida",5626,"https://doi.org/10.32942/x2jw29","helicat canada’s wildlife observations program: trends and findings 2012-2022","steven foster wilson","canada",NA,"reviews and meta-analyses","vertebrates","none","none",0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,0,1,"no","no","not applicable","not applicable"
"12","rafaela","almeida",5594,"https://doi.org/10.32942/x2f60q","measuring the 3-30-300 rule to help cities meet nature access thresholds","dexter h locke","united states of america",2011,"research article","plants, conceptual","none","none",NA,"no","https://doi.org/10.1016/j.scitotenv.2023.167739","science of the total environment","2023-10-11","no",1,NA,NA,NA,NA,NA,NA,NA,"preprint",1,0,0,0,0,0,"no","no","not applicable","not applicable"
"13","rafaela","almeida",5614,"https://doi.org/10.32942/x2tc7h","coining one currency for nature","joseph millard","united kingdom",2019,"opinion","conceptual",NA,NA,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,0,0,"not applicable","not applicable","not applicable","not applicable"
"14","rafaela","almeida",5159,"https://doi.org/10.32942/x2q305","biogeographical distributions of trickster animals","shota shibasaki","united states of america",2017,"research article","invertebrates, vertebrates","none","https://github.com/shotashibasaki/distributiontrickster.",0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,1,1,"no","yes","not applicable","not applicable"
"15","rafaela","almeida",5632,"https://doi.org/10.32942/x29c7v","prevalence and potential evolutionary significance of color mutations in freshwater crayfish (decapoda: astacidea)","zackary a graham","united states of america",2019,"research article","invertebrates","none","none",1,"no","https://doi.org/10.1093/jcbiol/ruad054","journal of crustacean biology","2023-09-22","no",0,"none","none",NA,NA,NA,NA,NA,"preprint",0,0,0,0,1,1,"no","no","no","no"
"16","rafaela","almeida",5633,"https://doi.org/10.32942/x25p5z","measuring historical pollution: natural history collections as tools for public health and environmental justice research","shane dubay","united states of america",2011,"research article","vertebrates","none","none",0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,0,1,"no","no","not applicable","not applicable"
"17","rafaela","almeida",5638,"https://doi.org/10.32942/x21w2n","extinction drives recent thermophilization but does not trigger homogenization in forest understory","jeremy borderieux","france",2021,"research article","plants","https://inventaire-forestier.ign.fr","none",0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"preprint",1,0,0,0,0,0,"no","no","not applicable","not applicable"
"18","rafaela","almeida",5639,"https://doi.org/10.32942/x2x602","computationally reproducing results from meta-analyses in ecology and evolutionary biology using shared code and data","steven kambouris","australia",NA,"research article","conceptual","https://doi.org/10.5281/zenodo.8114702","https://doi.org/10.5281/zenodo.8114702",1,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,0,0,"yes","yes","not applicable","not applicable"
"19","rafaela","almeida",5640,"https://doi.org/10.32942/x2sc76","regenerating tropical forests are consistently affected by biological invasions across spatial scales","juliano zardetto","brazil",NA,"research article","plants","https://doi.org/10.5281/zenodo.8111724","none",0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"preprint",1,0,0,0,0,0,"yes","no","not applicable","not applicable"
"20","rafaela","almeida",5644,"https://doi.org/10.32942/x2np59","habitat suitability maps for australian flora and fauna under cmip6 climate scenarios","carla leigh archibald","australia",2016,"research article","plants, vertebrates","none","none",0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"preprint",1,0,0,0,0,1,"no","no","not applicable","not applicable"
"21","rafaela","almeida",5646,"https://doi.org/10.32942/x2hw20","precipitation predictability drives evolution of drought tolerance in papaver rhoeas","martí march-salas","germany",2018,"research article","plants","none","none",0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"preprint",1,0,0,0,0,0,"no","no","not applicable","not applicable"
"22","rafaela","almeida",5665,"https://doi.org/10.32942/x2d60d","reviewing the role of urbanisation in facilitating the  introduction and establishment of invasive animal species","eugenio carlon","italy",NA,"reviews and meta-analyses","invertebrates, vertebrates",NA,NA,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,1,1,"not applicable","not applicable","not applicable","not applicable"
"23","rafaela","almeida",5667,"https://doi.org/10.32942/x28c8x","when to monitor or control; informed invasive species management using a partially observable markov decision process (pomdp) framework","thomas krishna waring","australia",NA,"research article","conceptual","https://github.com/thomaskwaring/to-monitor-or-control","https://github.com/thomaskwaring/to-monitor-or-control",0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,0,0,"yes","yes","not applicable","not applicable"
"24","rafaela","almeida",5668,"https://doi.org/10.32942/x24p48","higher internal stem damage in dry compared to wet tropics: where are we overestimating forest biomass?","habacuc flores-moreno","united states of america",2007,"research article","plants","none","none",1,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"preprint",1,0,0,0,0,0,"no","no","not applicable","not applicable"
"25","rafaela","almeida",5672,"https://doi.org/10.32942/x20w3q","building a portuguese coalition for biodiversity genomics","joão pedro marques","portugal",2015,"opinion","plants, invertebrates, vertebrates",NA,NA,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"preprint",1,0,0,0,1,1,"not applicable","not applicable","not applicable","not applicable"
"26","kevin","bairos-novak",4414,"https://doi.org/10.32942/osf.io/vt67s","behavioral modification of eastern hoolock gibbon in non-protected fragmented rainforest patches of north eastern himalayas","amitava aich","india",NA,"research article","vertebrates","none","none",0,"no",NA,NA,NA,"no",NA,NA,NA,NA,2019-12-07,1,3,NA,"preprint",0,0,0,0,0,1,"no","no","not applicable","not applicable"
"27","kevin","bairos-novak",4377,"https://doi.org/10.32942/osf.io/q7gy6","the quest for absolute abundance: the use of internal standards for dna-based microbial and community ecology","joshua harrison","united states of america",2015,"methods papers","microorganisms",NA,NA,48,"no",NA,NA,NA,NA,NA,NA,NA,NA,2020-03-26,2,4,NA,"preprint",0,0,0,1,0,0,"not applicable","not applicable","not applicable","not applicable"
"28","kevin","bairos-novak",4376,"https://doi.org/10.32942/osf.io/mr6pn","on the inadequacy of species distribution models for modelling the spread of sars-cov-2: response to araújo and naimi","joseph daniel chipperfield","norway",NA,"comment","microorganisms","none","https://osf.io/mu2zg/",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,2020-03-28,1,5,NA,"preprint",0,0,0,1,0,0,"no","yes","not applicable","not applicable"
"29","kevin","bairos-novak",4375,"https://doi.org/10.32942/osf.io/6yf4u","evolutionary consequences of epigenetically induced phenotypic switching","dragan stajic","portugal",NA,"reviews and meta-analyses","theoretical evolutionary biology - applies to all?",NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,2020-04-01,2,2,NA,"preprint",0,0,0,0,0,0,"not applicable","not applicable","not applicable","not applicable"
